2024-09-01 01:27:57,308 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Configure stats pid to 43703
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Loading settings from /home/xz3013/.config/wandb/settings
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Loading settings from /share/nklab/users/xz3013/CogModRNN/wandb/settings
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'train_disrnn.py', 'program_abspath': '/share/nklab/users/xz3013/CogModRNN/train_disrnn.py', 'program': '/share/nklab/users/xz3013/CogModRNN/train_disrnn.py'}
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_init.py:_log_setup():524] Logging user logs to /share/nklab/users/xz3013/CogModRNN/wandb/run-20240901_012757-dotun6bv/logs/debug.log
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_init.py:_log_setup():525] Logging internal logs to /share/nklab/users/xz3013/CogModRNN/wandb/run-20240901_012757-dotun6bv/logs/debug-internal.log
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_init.py:init():607] calling init triggers
2024-09-01 01:27:57,309 INFO    MainThread:43703 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'latent_size': 4, 'update_mlp_shape': [31, 31], 'choice_mlp_shape': [8, 8], 'beta_scale': 1e-05, 'penalty_scale': 1e-10}
2024-09-01 01:27:57,310 INFO    MainThread:43703 [wandb_init.py:init():657] starting backend
2024-09-01 01:27:57,310 INFO    MainThread:43703 [wandb_init.py:init():661] setting up manager
2024-09-01 01:27:57,320 INFO    MainThread:43703 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-01 01:27:57,323 INFO    MainThread:43703 [wandb_init.py:init():669] backend started and connected
2024-09-01 01:27:57,343 INFO    MainThread:43703 [wandb_init.py:init():767] updated telemetry
2024-09-01 01:27:57,395 INFO    MainThread:43703 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-09-01 01:27:57,571 INFO    MainThread:43703 [wandb_init.py:init():851] starting run threads in backend
2024-09-01 01:28:03,509 INFO    MainThread:43703 [wandb_run.py:_console_start():2463] atexit reg
2024-09-01 01:28:03,509 INFO    MainThread:43703 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-09-01 01:28:03,509 INFO    MainThread:43703 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-09-01 01:28:03,510 INFO    MainThread:43703 [wandb_run.py:_redirect():2399] Redirects installed.
2024-09-01 01:28:03,514 INFO    MainThread:43703 [wandb_init.py:init():894] run started, returning control to user process
2024-09-01 01:29:14,365 WARNING MsgRouterThr:43703 [router.py:message_loop():77] message_loop has been closed
